torneo,fecha,home_team,away_team,home_score,away_score,elo_h,elo_a,lambda_h,lambda_a,p_home,p_draw,p_away,resultado,brier,logloss,rps
2018,2018-07-03,Sweden,Switzerland,1,0,1795.0,1878.0,1.169,1.428,0.3087,0.2615,0.4298,H,0.731,1.1754,0.3313
2018,2018-07-03,Colombia,England,1,1,1927.0,1940.0,1.272,1.312,0.3581,0.2648,0.3771,D,0.8109,1.3287,0.1352
2018,2018-07-06,Uruguay,France,0,2,1876.0,1994.0,1.12,1.489,0.2852,0.2581,0.4568,A,0.443,0.7836,0.1882
2018,2018-07-06,Brazil,Belgium,1,2,2130.0,1929.0,1.646,1.014,0.5215,0.2455,0.233,A,0.9205,1.4566,0.4301
2018,2018-07-07,Sweden,England,0,2,1795.0,1940.0,1.084,1.539,0.2676,0.2546,0.4777,A,0.4092,0.7387,0.1722
2018,2018-07-07,Russia,Croatia,2,2,1684.0,1853.0,1.054,1.584,0.2525,0.251,0.4965,D,0.8712,1.3822,0.1551
2018,2018-07-10,France,Belgium,1,0,1994.0,1929.0,1.397,1.194,0.4161,0.2628,0.3211,H,0.5132,0.8769,0.222
2018,2018-07-11,Croatia,England,2,1,1853.0,1940.0,1.163,1.435,0.306,0.2612,0.4329,H,0.7372,1.1842,0.3345
2018,2018-07-14,Belgium,England,2,0,1929.0,1940.0,1.275,1.309,0.3595,0.2648,0.3756,H,0.6214,1.023,0.2757
2018,2018-07-15,France,Croatia,4,2,1994.0,1853.0,1.531,1.09,0.4746,0.2552,0.2702,H,0.4142,0.7453,0.1745
2022,2022-11-20,Qatar,Ecuador,0,2,1652.0,1841.0,1.007,1.553,0.2456,0.2545,0.4999,A,0.3752,0.6934,0.1552
2022,2022-11-21,Senegal,Netherlands,0,2,1705.0,2003.0,0.889,1.76,0.1875,0.233,0.5796,A,0.2662,0.5455,0.106
2022,2022-11-21,England,Iran,6,2,1923.0,1798.0,1.444,1.084,0.4533,0.2631,0.2837,H,0.4486,0.7913,0.1897
2022,2022-11-21,United States,Wales,1,1,1801.0,1822.0,1.221,1.281,0.3508,0.2697,0.3795,D,0.8004,1.3104,0.1335
2022,2022-11-22,Argentina,Saudi Arabia,1,2,2143.0,1636.0,2.236,0.7,0.7238,0.1749,0.1014,A,1.362,2.2892,0.6657
2022,2022-11-22,Mexico,Poland,0,0,1809.0,1813.0,1.245,1.257,0.3623,0.2699,0.3678,D,0.7996,1.3097,0.1333
2022,2022-11-22,Denmark,Tunisia,0,0,1983.0,1705.0,1.72,0.91,0.565,0.2375,0.1975,D,0.9397,1.4376,0.1791
2022,2022-11-22,France,Australia,4,1,2073.0,1731.0,1.851,0.845,0.6113,0.2222,0.1665,H,0.2282,0.4922,0.0894
2022,2022-11-23,Germany,Japan,1,2,1962.0,1799.0,1.508,1.038,0.4809,0.2584,0.2607,A,0.8445,1.3442,0.3889
2022,2022-11-23,Spain,Costa Rica,7,0,2034.0,1730.0,1.772,0.883,0.5839,0.2316,0.1845,H,0.2608,0.538,0.1036
2022,2022-11-23,Morocco,Croatia,0,0,1751.0,1926.0,1.024,1.529,0.2537,0.2566,0.4897,D,0.8567,1.3601,0.1521
2022,2022-11-23,Belgium,Canada,1,0,2033.0,1778.0,1.675,0.934,0.5482,0.2424,0.2094,H,0.3067,0.6011,0.124
2022,2022-11-24,Switzerland,Cameroon,1,0,1913.0,1613.0,1.764,0.887,0.581,0.2325,0.1865,H,0.2644,0.543,0.1052
2022,2022-11-24,Brazil,Serbia,2,0,2167.0,1803.0,1.898,0.824,0.6269,0.2165,0.1566,H,0.2106,0.4669,0.0819
2022,2022-11-24,Uruguay,South Korea,0,0,1926.0,1780.0,1.479,1.058,0.4685,0.2606,0.2709,D,0.8396,1.3447,0.1464
2022,2022-11-24,Portugal,Ghana,3,2,2018.0,1534.0,2.178,0.719,0.7089,0.1819,0.1092,H,0.1298,0.3441,0.0483
2022,2022-11-25,Qatar,Senegal,1,3,1652.0,1705.0,1.177,1.329,0.3295,0.2687,0.4018,A,0.5386,0.9118,0.2332
2022,2022-11-25,Netherlands,Ecuador,1,1,2003.0,1841.0,1.506,1.039,0.4802,0.2585,0.2613,D,0.8487,1.3529,0.1494
2022,2022-11-25,Wales,Iran,0,2,1822.0,1798.0,1.286,1.217,0.3816,0.2697,0.3488,A,0.6424,1.0533,0.2848
2022,2022-11-25,England,United States,0,0,1923.0,1801.0,1.439,1.088,0.4511,0.2634,0.2855,D,0.8276,1.3341,0.1425
2022,2022-11-26,Poland,Saudi Arabia,2,0,1813.0,1636.0,1.532,1.021,0.4911,0.2563,0.2525,H,0.3885,0.7111,0.1614
2022,2022-11-26,Argentina,Mexico,2,0,2143.0,1809.0,1.834,0.853,0.6055,0.2242,0.1702,H,0.2349,0.5016,0.0923
2022,2022-11-26,Tunisia,Australia,0,1,1705.0,1731.0,1.214,1.289,0.3474,0.2696,0.3829,A,0.5742,0.9599,0.2507
2022,2022-11-26,France,Denmark,2,1,2073.0,1983.0,1.387,1.128,0.4281,0.2663,0.3056,H,0.4914,0.8485,0.2102
2022,2022-11-27,Japan,Costa Rica,0,1,1799.0,1730.0,1.354,1.156,0.4131,0.2678,0.3191,A,0.7061,1.1424,0.3172
2022,2022-11-27,Spain,Germany,1,1,2034.0,1962.0,1.359,1.152,0.4152,0.2676,0.3171,D,0.8094,1.3181,0.1365
2022,2022-11-27,Belgium,Morocco,0,2,2033.0,1751.0,1.728,0.906,0.5679,0.2366,0.1955,A,1.0258,1.6324,0.4849
2022,2022-11-27,Croatia,Canada,4,1,1926.0,1778.0,1.482,1.056,0.47,0.2604,0.2697,H,0.4215,0.7551,0.1768
2022,2022-11-28,Cameroon,Serbia,3,3,1613.0,1803.0,1.006,1.555,0.245,0.2543,0.5006,D,0.8667,1.3691,0.1553
2022,2022-11-28,Brazil,Switzerland,1,0,2167.0,1913.0,1.674,0.935,0.5475,0.2426,0.2099,H,0.3077,0.6024,0.1244
2022,2022-11-28,South Korea,Ghana,2,3,1780.0,1534.0,1.658,0.944,0.5417,0.2442,0.2141,A,0.9706,1.5412,0.4555
2022,2022-11-28,Portugal,Uruguay,2,0,2018.0,1926.0,1.39,1.126,0.4295,0.2662,0.3043,H,0.4889,0.8451,0.209
2022,2022-11-29,Ecuador,Senegal,1,2,1841.0,1705.0,1.462,1.07,0.4612,0.2618,0.2769,A,0.8041,1.284,0.3678
2022,2022-11-29,Qatar,Netherlands,0,2,1652.0,2003.0,0.837,1.87,0.1624,0.2199,0.6177,A,0.2209,0.4818,0.0863
2022,2022-11-29,Wales,England,0,3,1822.0,1923.0,1.114,1.404,0.2986,0.2654,0.436,A,0.4778,0.8302,0.2037
2022,2022-11-29,Iran,United States,0,1,1798.0,1801.0,1.247,1.255,0.363,0.2699,0.3671,A,0.6052,1.0021,0.2662
2022,2022-11-30,Poland,Argentina,0,2,1813.0,2143.0,0.857,1.826,0.1721,0.2252,0.6027,A,0.2382,0.5064,0.0937
2022,2022-11-30,Saudi Arabia,Mexico,1,2,1636.0,1809.0,1.026,1.525,0.2549,0.2569,0.4882,A,0.3929,0.717,0.1635
2022,2022-11-30,Australia,Denmark,1,0,1731.0,1983.0,0.937,1.67,0.2109,0.243,0.546,H,0.9798,1.5562,0.4604
2022,2022-11-30,Tunisia,France,1,0,1705.0,2073.0,0.821,1.907,0.1549,0.2154,0.6297,H,1.1572,1.8652,0.5554
2022,2022-12-01,Japan,Spain,2,1,1799.0,2034.0,0.956,1.638,0.22,0.2464,0.5336,H,0.9538,1.514,0.4465
2022,2022-12-01,Costa Rica,Germany,2,4,1730.0,1962.0,0.959,1.632,0.2216,0.247,0.5314,A,0.3297,0.6322,0.1344
2022,2022-12-01,Croatia,Belgium,0,0,1926.0,2033.0,1.107,1.414,0.2948,0.2649,0.4403,D,0.8212,1.3285,0.1404
2022,2022-12-01,Canada,Morocco,1,2,1778.0,1751.0,1.29,1.213,0.3836,0.2696,0.3468,A,0.6466,1.0591,0.2869
2022,2022-12-02,Serbia,Switzerland,2,3,1803.0,1913.0,1.103,1.419,0.293,0.2646,0.4424,A,0.4667,0.8155,0.1984
2022,2022-12-02,Cameroon,Brazil,1,0,1613.0,2167.0,0.663,2.36,0.0866,0.1603,0.7531,H,1.4272,2.4469,0.7008
2022,2022-12-02,Ghana,Uruguay,0,2,1534.0,1926.0,0.798,1.96,0.1446,0.2088,0.6466,A,0.1894,0.436,0.0729
